Topic_Code,Topic_Categories,Question,Response
AASKK01,Python Introduction,I want to know about Python,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,What is Python,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,I Want to understand Python,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,what is python ecosystem,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,whether python ecosystem is well supported,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,Is python general purpose,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,Is python accessible,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,What is jupyter notebook,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,How python code is different from notebook,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Lists,what is list,https://chrisalbon.com/#python
AASKK01,Dictionary,what is dictionary,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Python Introduction,Which field python is extensively used,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,"what is AI, Machine Learning, Big Data computing and big data?",https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,Does python has features of data analytics,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,what are all python libraries ,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,"tensorflow, OpenCV and pandas are part of python?",https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Python Introduction,Is python a high level language?,https://beginnersbook.com/2018/01/introduction-to-python-programming/ 
AASKK01,Lists,what is an index in a list?,https://chrisalbon.com/#python
AASKK01,Lists,what is a reverse list?,https://chrisalbon.com/#python
AASKK01,Lists,whether list is mutable?,https://chrisalbon.com/#python
AASKK01,Lists,can we concatenate two lists?,https://chrisalbon.com/#python
AASKK01,Dictionary,what is key value pair in a dictionary?,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Dictionary,whether keys are always unique in a dictionary?,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,File,how to open a file in python. ,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,what are all different modes available in python,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,what is file read operation?,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,what is file write operation?,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,what is file close operation?,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,how to close a file automatically when you use file read?,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,File,what are all different file types we can read in python,https://www.edureka.co/blog/file-handling-in-python/
AASKK01,Dictionary,how to merge two python dictionaries in a single expression?,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Numpy,what is NumPy and  pandas?,https://www.kaggle.com/python10pm/learn-numpy-the-hard-way-70-exercises-solutions
AASKK01,Plotting,what  is seaborn?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Pandas,Can excel be read in python?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Pandas,can csv file be read in python?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Dictionary,how to sort objects in a dictionary?,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Lists,pattern matching in lists?,https://chrisalbon.com/#python
AASKK01,Lists,map two lists into single list?,https://chrisalbon.com/#python
AASKK01,Lists,merging/adding lists in python?,https://chrisalbon.com/#python
AASKK01,Dictionary,comparing massive lists of dictionaries from python,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Lists,sorting and grouping nested lists in python,https://chrisalbon.com/#python
AASKK01,Lists,ordered lists in python,https://chrisalbon.com/#python
AASKK01,Dictionary,how to merge two python dictionaries in a single expression?,https://www.kaggle.com/ealtili/python-3-dictionary
AASKK01,Plotting,how to plot MATLAB functions in python?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Pandas,what is pandas?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,PivotTable,what is pandas pivot table?,https://pbpython.com/pandas-pivot-table-explained.html
AASKK01,PivotTable,what is pandas cut method?,https://pbpython.com/pandas-pivot-table-explained.html
AASKK01,PivotTable,what is pandas cut method?,https://pbpython.com/pandas-pivot-table-explained.html
AASKK01,PivotTable,how to sort pandas pivot table?,https://pbpython.com/pandas-pivot-table-explained.html
AASKK01,GroupBy,What is Pandas Groupby Object,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_3-Data-Wrangling-with-Pandas.ipynb
AASKK01,GroupBy,what is aggregation in pandas groupby ?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_3-Data-Wrangling-with-Pandas.ipynb
AASKK01,Missing,what are missing values in pandas?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Numpy,"how to create 3 dimensions matrix in NumPy , like MATLAB a(:,:,:)",https://www.kaggle.com/python10pm/learn-numpy-the-hard-way-70-exercises-solutions
AASKK01,Missing,How to fill in missing  value in date time format in pandas?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Plotting,How to plot boxplot in pandas?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Plotting,How to understand boxplot outliers?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Plotting,How to calculate boxplots with imputed data,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Plotting,How to calculate pvalue between boxplot boxes in python?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Numpy,combining 2D arrays to 3D arrays,https://www.kaggle.com/python10pm/learn-numpy-the-hard-way-70-exercises-solutions
AASKK01,Pandas,How to create pivot with totals (margins) in Pandas?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Missing,How to remove missing values?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Missing,How to impute dataframes?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Plotting,How to plot a pairplot using python?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Missing,what is simple imputer ?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Plotting,How to generate histogram in python?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
AASKK01,Missing,How to fill missing value with  median?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Missing,How to fill a missing value with mean?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Missing,How to fill a missing value with forward fill?,https://www.kaggle.com/dark4user/python-programming-from-a-to-z 
AASKK01,Pandas,What is Pandas library?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Pandas,How to read an excel in python?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Pandas,How to read a csv file in python?,https://nbviewer.jupyter.org/github/fonnesbeck/Bios8366/blob/master/notebooks/Section2_2-Pandas-Fundamentals.ipynb
AASKK01,Plotting,How is MATLAB different from python?,https://www.kaggle.com/python10pm/plotting-with-python-learn-80-plots-step-by-step
