Topic_Code,Topic_Categories,Question,Response
AASKK03,Introduction,what is machine learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,types of machine learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is supervised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is semi supervised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,use cases of machine learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is the different types super vised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,how supervised learning works,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is testing,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what is the process of super vised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what are real life business cases ,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what are the different types of algorithm used in supervised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what are the different domain where supervised learning is used,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Introduction,what are the common examples of supervised learning,https://vinodsblog.com/2018/10/08/machine-learning-introduction-to-supervised-learning/
AASKK03,Preprocessing,what is preprocessing,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,why preprocessing is needed,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,what is missing value imputation,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,what is feature encoding,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,how to do feature encoding,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,how to do one hot encoding,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,what is label encoder,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,how to split our data,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,what is feature scaling,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,What is the Validation of model,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,What is Standardization,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Preprocessing,What is Normalization,https://medium.com/datadriveninvestor/data-preprocessing-for-machine-learning-188e9eef1d2c
AASKK03,Types of Algorithm,Polynomial Regression,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Types of Algorithm,Logistic Regression,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Types of Algorithm,Naïve Bayes Algorithm,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Types of Algorithm,k nearest neighbor,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Types of Algorithm,Linear regression,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Types of Algorithm,support vector machine,https://theappsolutions.com/blog/development/machine-learning-algorithm-types/
AASKK03,Linear Regression,what is Linear Regression,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e86
AASKK03,Linear Regression,What is linear relationship ,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e87
AASKK03,Linear Regression,types of linear regression,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e88
AASKK03,Linear Regression,what is simple linear regression,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e89
AASKK03,Linear Regression,what is multiple linear regression,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e90
AASKK03,Linear Regression,What is dependent variable,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e91
AASKK03,Linear Regression,What is Target Variable ,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e92
AASKK03,Linear Regression,What is slope,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e93
AASKK03,Linear Regression,What is intercept,https://towardsdatascience.com/linear-regression-detailed-view-ea73175f6e94
